Company,Ticker,Time,Price
Nordstrom Inc,JWN,2023-08-05 13:21:27,22.7
Lululemon Athletica Inc,LULU,2023-08-05 13:21:27,378.2
Starbucks Corporation,SBUX,2023-08-05 13:21:27,100.68
NIKE Inc,NKE,2023-08-05 13:21:28,108.81
Amazon.com Inc,AMZN,2023-08-05 13:21:28,139.57
Nordstrom Inc,JWN,2023-08-05 13:22:29,22.7
Lululemon Athletica Inc,LULU,2023-08-05 13:22:29,378.2
Starbucks Corporation,SBUX,2023-08-05 13:22:30,100.68
NIKE Inc,NKE,2023-08-05 13:22:30,108.81
Amazon.com Inc,AMZN,2023-08-05 13:22:31,139.57
